Id;Label
SNIPER;SNIPER
BOAT CAPTAIN;BOAT CAPTAIN
GUATEMALAN TRUCKER;GUATEMALAN TRUCKER
COMPUTER NERD;COMPUTER NERD
APACHE HELICOPTER PILOT;APACHE HELICOPTER PILOT
COLLEAGUE;COLLEAGUE
HARLEM BYSTANDE;HARLEM BYSTANDE
MARKET VENDOR;MARKET VENDOR
SUPPLY DRIVER;SUPPLY DRIVER
ARMY BASE DOCTOR;ARMY BASE DOCTOR
AIKIDO INSTRUCTOR;AIKIDO INSTRUCTOR
ROSS'S SOLDIER;ROSS'S SOLDIER
MCGEE;MCGEE
WILSON;WILSON
GUNNER;GUNNER
LITTLE BOY;LITTLE BOY
BRAVE COP;BRAVE COP
BOPE OFFICER;BOPE OFFICER
MEDIC SOLDIER;MEDIC SOLDIER
HANDSOME SOLDIER;HANDSOME SOLDIER
ROSS'S AIDE;ROSS'S AIDE
FEMALE MEDICAL ASSISTANT;FEMALE MEDICAL ASSISTANT
HUMVEE DRIVER;HUMVEE DRIVER
STERNS LAB SOLDIER;STERNS LAB SOLDIER
LARGE WOMAN;LARGE WOMAN
FEMALE BARTENDER;FEMALE BARTENDER
HOPSCOTCH GIRL";HOPSCOTCH GIRL"
NATASHA ROMANOFF / BLACK WIDOW;NATASHA ROMANOFF / BLACK WIDOW
IVAN VANKO / WHIPLASH;IVAN VANKO / WHIPLASH
JUSTIN HAMMER;JUSTIN HAMMER
SENATOR STERN;SENATOR STERN
U.S. MARSHAL;U.S. MARSHAL
HERSELF;HERSELF
DETECTIVE LEMIEUX;DETECTIVE LEMIEUX
SECURITY FORCE #1;SECURITY FORCE #1
SECURITY FORCE #2;SECURITY FORCE #2
EXPO FAN;EXPO FAN
RUSSIAN NEWSCASTER;RUSSIAN NEWSCASTER
FRENCH PHOTOGRAPHER;FRENCH PHOTOGRAPHER
HIMSELF;HIMSELF
GENERAL MEADE;GENERAL MEADE
10 RINGS GANGSTER;10 RINGS GANGSTER
ANTON VANKO;ANTON VANKO
AV OPERATOR;AV OPERATOR
REBECCA;REBECCA
EXPO COP;EXPO COP
REBEKA;REBEKA
BAMBI ARBOGAST;BAMBI ARBOGAST
CHESS ROBERTS;CHESS ROBERTS
STRAWBERRY VENDOR;STRAWBERRY VENDOR
YOUNG TONY STARK;YOUNG TONY STARK
HAMMER EXPO TECH;HAMMER EXPO TECH
FRENCH WAITER;FRENCH WAITER
JACK;JACK
IRONETTE DANCER";IRONETTE DANCER"
THOR ODINSON;THOR ODINSON
JANE FOSTER;JANE FOSTER
LOKI;LOKI
ERIK SELVIG;ERIK SELVIG
KING LAUFEY;KING LAUFEY
VOLSTAGG;VOLSTAGG
HEIMDALL;HEIMDALL
DARCY LEWIS;DARCY LEWIS
FRIGGA;FRIGGA
ODIN;ODIN
AGENT COULSON;AGENT COULSON
SIF;SIF
HOGUN;HOGUN
FANDRAL;FANDRAL
ISABELA ALVAREZ;ISABELA ALVAREZ
AGENT SITWELL;AGENT SITWELL
FROST GIANT CAPTAIN;FROST GIANT CAPTAIN
FROST GIANT SENTRY;FROST GIANT SENTRY
FROST GIANT HAILSTRUM;FROST GIANT HAILSTRUM
FROST GIANT BRUTE;FROST GIANT BRUTE
FROST GIANT GRUNDROTH;FROST GIANT GRUNDROTH
FROST GIANT RAZE;FROST GIANT RAZE
EINHERJAR GUARD;EINHERJAR GUARD
AGENT DELANCEY;AGENT DELANCEY
TECHIE;TECHIE
AGENT JACKSON;AGENT JACKSON
AGENT GARRETT;AGENT GARRETT
AGENT CALE;AGENT CALE
SHIELD GUARD;SHIELD GUARD
TOWNIE;TOWNIE
PETE;PETE
STAN THE MAN;STAN THE MAN
DRUNK TOWNIE;DRUNK TOWNIE
PET STORE CLERK;PET STORE CLERK
ADMISSION NURSE;ADMISSION NURSE
ORDERLY;ORDERLY
VIKING MOTHER;VIKING MOTHER
VIKING CHILD;VIKING CHILD
VIKING ELDER;VIKING ELDER
VIKING;VIKING
GUEST;GUEST
YOUNG THOR;YOUNG THOR
YOUNG LOKI;YOUNG LOKI
FROST GIANT;FROST GIANT
NICK FURY;NICK FURY
CLINT BARTON;CLINT BARTON
STEVE ROGERS / CAPTAIN AMERICA;STEVE ROGERS / CAPTAIN AMERICA
PEGGY CARTER;PEGGY CARTER
JOHANN SCHMIDT / RED SKULL;JOHANN SCHMIDT / RED SKULL
COL. CHESTER PHILLIPS;COL. CHESTER PHILLIPS
JAMES BUCHANAN 'BUCKY' BARNES;JAMES BUCHANAN 'BUCKY' BARNES
HEINZ KRUGER;HEINZ KRUGER
ABRAHAM ERSKINE;ABRAHAM ERSKINE
DR. ARNIM ZOLA;DR. ARNIM ZOLA
PRIVATE LORRAINE;PRIVATE LORRAINE
SHIELD AGENT;SHIELD AGENT
JACQUES DERNIER;JACQUES DERNIER
TIMOTHY 'DUM DUM' DUGAN;TIMOTHY 'DUM DUM' DUGAN
GABE JONES;GABE JONES
JIM MORITA;JIM MORITA
JAMES MONTGOMERY FALSWORTH;JAMES MONTGOMERY FALSWORTH
GENERAL;GENERAL
SENATOR BRANDT;SENATOR BRANDT
BRANDT'S AIDE;BRANDT'S AIDE
SHIELD LIEUTENANT;SHIELD LIEUTENANT
GILMORE HODGE;GILMORE HODGE
SEARCH TEAM LEADER;SEARCH TEAM LEADER
SHIELD TECH;SHIELD TECH
JAN;JAN
TOWER KEEPER;TOWER KEEPER
BARMAN;BARMAN
NERVOUS RECRUIT;NERVOUS RECRUIT
CONNIE;CONNIE
BONNIE;BONNIE
4F DOCTOR;4F DOCTOR
LOUD JERK;LOUD JERK
YOUNG DOCTOR;YOUNG DOCTOR
ENLISTMENT OFFICE MP;ENLISTMENT OFFICE MP
STARK GIRL;STARK GIRL
SERGEANT DUFFY;SERGEANT DUFFY
JOHANN SCHMIDT'S ARTIST;JOHANN SCHMIDT'S ARTIST
ANTIQUE STORE OWNER;ANTIQUE STORE OWNER
SSR DOCTOR;SSR DOCTOR
PROJECT REBIRTH NURSE;PROJECT REBIRTH NURSE
KRUGER'S AIDE;KRUGER'S AIDE
UNDERCOVER BUM;UNDERCOVER BUM
ROEDER;ROEDER
HUTTER;HUTTER
SCHNEIDER;SCHNEIDER
THE STAR SPANGLED SINGER;THE STAR SPANGLED SINGER
AUTOGRAPH SEEKER;AUTOGRAPH SEEKER
'ADOLPH HITLER';'ADOLPH HITLER'
ARMY HECKLER;ARMY HECKLER
HYDRA GUARD / HYDRA PILOT;HYDRA GUARD / HYDRA PILOT
MANAGER VELT;MANAGER VELT
CLINT BARTON / HAWKEYE;CLINT BARTON / HAWKEYE
AGENT MARIA HILL;AGENT MARIA HILL
WORLD SECURITY COUNCIL;WORLD SECURITY COUNCIL
SHIELD PILOT;SHIELD PILOT
OLD MAN IN TV REPORT;OLD MAN IN TV REPORT
WAITRESS;WAITRESS
SECURITY GUARD;SECURITY GUARD
CARRIER BRIDGE TECHS;CARRIER BRIDGE TECHS
GALA SCIENTIST;GALA SCIENTIST
CELEBRATION MONTAGE INTERVIEWEE;CELEBRATION MONTAGE INTERVIEWEE
TALL THUG;TALL THUG
GEORGI LUCHKOV;GEORGI LUCHKOV
AGENT JASPER SITWELL;AGENT JASPER SITWELL
THE OTHER;THE OTHER
SENATOR BOYNTON;SENATOR BOYNTON
YOUNG COP;YOUNG COP
NASA SCIENTIST;NASA SCIENTIST
WEASELLY THUG;WEASELLY THUG
YOUNG GIRL;YOUNG GIRL
CALCUTTA WOMAN;CALCUTTA WOMAN
CARRIER BRIDGETECHS;CARRIER BRIDGETECHS
GERMAN OLD MAN;GERMAN OLD MAN
MAINTENANCE GUY;MAINTENANCE GUY
JAPANESE FAMILY;JAPANESE FAMILY
POLICE SERGEANT;POLICE SERGEANT
OFFICE WOMAN;OFFICE WOMAN
NEWS REPORTER;NEWS REPORTER
FACELESS PILOT;FACELESS PILOT
SHAWNA LYNDE;SHAWNA LYNDE
HIMSELF ";HIMSELF "
COLONEL JAMES ""RHODEY"" RHODES / WAR MACHINE;COLONEL JAMES ""RHODEY"" RHODES / WAR MACHINE
ALDRICH KILLIAN / THE MANDARIN;ALDRICH KILLIAN / THE MANDARIN
TREVOR SLATTERY;TREVOR SLATTERY
MAYA HANSEN;MAYA HANSEN
SAVIN;SAVIN
BRANDT;BRANDT
JARVIS (VOICE);JARVIS (VOICE)
PRESIDENT ELLIS;PRESIDENT ELLIS
MRS. DAVIS;MRS. DAVIS
HARLEY KEENER;HARLEY KEENER
VICE PRESIDENT RODRIGUEZ;VICE PRESIDENT RODRIGUEZ
DOCTOR WU (AS WANG XUEQI);DOCTOR WU (AS WANG XUEQI)
HO YINSEN;HO YINSEN
ANNOYING CONFERENCE GUY;ANNOYING CONFERENCE GUY
NEPTUNE'S NET GIRL;NEPTUNE'S NET GIRL
NEPTUNE'S NET BOY;NEPTUNE'S NET BOY
TAGGERT;TAGGERT
HAPPY'S NURSE;HAPPY'S NURSE
HOSPITAL NURSE REPORTER;HOSPITAL NURSE REPORTER
PUSHY TABLOID REPORTER;PUSHY TABLOID REPORTER
HELICOPTER PILOT #1;HELICOPTER PILOT #1
HELICOPTER PILOT #2;HELICOPTER PILOT #2
REPORTER AT HOUSE WRECKAGE;REPORTER AT HOUSE WRECKAGE
MANDARIN STUDIO TECHNICIAN;MANDARIN STUDIO TECHNICIAN
MANDARIN LOOK-OUT;MANDARIN LOOK-OUT
ROSE HILLS SHERRIF;ROSE HILLS SHERRIF
ROSE HILL DEPUTY / EXTREMIS SOLDIER;ROSE HILL DEPUTY / EXTREMIS SOLDIER
ROSE HILL CHRISTMAS TREE SHOPPER;ROSE HILL CHRISTMAS TREE SHOPPER
JUNIOR TECHNICIAN (AS SARAH BURKHARAT);JUNIOR TECHNICIAN (AS SARAH BURKHARAT)
SENIOR TECHNICIAN;SENIOR TECHNICIAN
SATELLITE TECHNICIAN (AS ANDY LAUER);SATELLITE TECHNICIAN (AS ANDY LAUER)
TECHNICAL DIRECTOR;TECHNICAL DIRECTOR
VICE PRESIDENT'S ANALYST;VICE PRESIDENT'S ANALYST
THOMAS RICHARDS;THOMAS RICHARDS
PRESIDENT'S AIDE;PRESIDENT'S AIDE
SCARED INSURGENT;SCARED INSURGENT
LAUGHING INSURGENT;LAUGHING INSURGENT
PAGEANT EMCEE;PAGEANT EMCEE
MISS ELK RIDGE;MISS ELK RIDGE
PAGEANT JUDGE;PAGEANT JUDGE
GARY THE CAMERAMAN;GARY THE CAMERAMAN
CHAD DAVIS;CHAD DAVIS
EXTREMIS CANDIDATE;EXTREMIS CANDIDATE
ROOM SERVICE WAITER / EXTREMIS SOLDIER;ROOM SERVICE WAITER / EXTREMIS SOLDIER
SWEAT SHOP AGENT;SWEAT SHOP AGENT
MANDARIN GUARD;MANDARIN GUARD
MANDARIN GUARD (AS JUAN BOFILL);MANDARIN GUARD (AS JUAN BOFILL)
MANDARIN GUARD (AS PAUL O'CONNOR);MANDARIN GUARD (AS PAUL O'CONNOR)
SLEEPY MANDARIN GIRL;SLEEPY MANDARIN GIRL
ANNOYED MANDARIN GUARD;ANNOYED MANDARIN GUARD
MANDARIN PARTY GIRL #1;MANDARIN PARTY GIRL #1
MANDARIN PARTY GIRL #2;MANDARIN PARTY GIRL #2
TONY'S GUARD;TONY'S GUARD
PONYTAIL EXPRESS;PONYTAIL EXPRESS
RELUCTANT AIM GUARD;RELUCTANT AIM GUARD
AIM PING PONG GIRL;AIM PING PONG GIRL
SECRET SERVICE AGENT;SECRET SERVICE AGENT
VICE PRESIDENT'S DAUGHTER;VICE PRESIDENT'S DAUGHTER
IRON PATRIOT FAN #1;IRON PATRIOT FAN #1
IRON PATRIOT FAN #2;IRON PATRIOT FAN #2
AIR FORCE ONE OFFICER;AIR FORCE ONE OFFICER
NAVY OP;NAVY OP
COMMANDER;COMMANDER
HEATHER;HEATHER
EXTREMIS SOLDIER";EXTREMIS SOLDIER"
DARRYL;DARRYL
ALEXANDER PIERCE;ALEXANDER PIERCE
BUCKY BARNES / WINTER SOLDIER;BUCKY BARNES / WINTER SOLDIER
SAM WILSON / FALCON;SAM WILSON / FALCON
MARIA HILL;MARIA HILL
BROCK RUMLOW;BROCK RUMLOW
JASPER SITWELL;JASPER SITWELL
KATE / AGENT 13;KATE / AGENT 13
SMITHSONIAN GUARD;SMITHSONIAN GUARD
JACK ROLLINS;JACK ROLLINS
COUNCILWOMAN HAWLEY;COUNCILWOMAN HAWLEY
COUNCILMAN SINGH;COUNCILMAN SINGH
COUNCILMAN ROCKWELL;COUNCILMAN ROCKWELL
COUNCILMAN YEN;COUNCILMAN YEN
GEORGES BATROC;GEORGES BATROC
FRENCH PIRATE #1;FRENCH PIRATE #1
FRENCH PIRATE #2;FRENCH PIRATE #2
ENGINE PIRATE;ENGINE PIRATE
FRENCH RADIO PIRATE;FRENCH RADIO PIRATE
SKINNY STEVE;SKINNY STEVE
LAUNCH TECH #1;LAUNCH TECH #1
LAUNCH TECH #2;LAUNCH TECH #2
DR. FINE (AS GOZIE AGBO);DR. FINE (AS GOZIE AGBO)
SHIELD INTERROGATOR #1;SHIELD INTERROGATOR #1
SHIELD INTERROGATOR #2;SHIELD INTERROGATOR #2
SCIENTIST #1;SCIENTIST #1
SCIENTIST #2;SCIENTIST #2
APPLE EMPLOYEE;APPLE EMPLOYEE
COM TECH #1;COM TECH #1
COM TECH #2;COM TECH #2
RENATA (AS BRANKA KATIC);RENATA (AS BRANKA KATIC)
GARCIA;GARCIA
CHARLIE XO;CHARLIE XO
CHARLIE WEAPONS TECH;CHARLIE WEAPONS TECH
LEAD SHIELD PILOT;LEAD SHIELD PILOT
SENIOR SHIELD AGENT;SENIOR SHIELD AGENT
STRIKE SGT. #1;STRIKE SGT. #1
STRIKE SGT. #2;STRIKE SGT. #2
STRIKE AGENT;STRIKE AGENT
25TH FLOOR STRIKE AGENT;25TH FLOOR STRIKE AGENT
SCUDDER;SCUDDER
HUMAN RESOURCES EXECUTIVE;HUMAN RESOURCES EXECUTIVE
DOCTOR;DOCTOR
LEAD EMT;LEAD EMT
CIA INSTRUCTOR;CIA INSTRUCTOR
CAPITOL HILL POLICE;CAPITOL HILL POLICE
FBI AGENT;FBI AGENT
COMMITTEE MEMBER;COMMITTEE MEMBER
LITTLE BOY IN THE SMITHSONIAN;LITTLE BOY IN THE SMITHSONIAN
FURY CAR VOICE (VOICE);FURY CAR VOICE (VOICE)
SHIELD COMPUTER (VOICE);SHIELD COMPUTER (VOICE)
THE SMITHSONIAN NARRATOR (VOICE);THE SMITHSONIAN NARRATOR (VOICE)
DENNIS COOPER;DENNIS COOPER
SQUIRE;SQUIRE
PASSELEWE;PASSELEWE
KING BRUNO THE QUESTIONABLE;KING BRUNO THE QUESTIONABLE
MR. FISHFINGER;MR. FISHFINGER
THE OTHER SQUIRE;THE OTHER SQUIRE
1ST HERALD;1ST HERALD
THE LANDLORD;THE LANDLORD
THE PRINCESS;THE PRINCESS
BISHOP;BISHOP
GRISELDA FISHFINGER;GRISELDA FISHFINGER
1ST FANATIC;1ST FANATIC
WAT DABNEY;WAT DABNEY
SISTER JESSICA;SISTER JESSICA
RED HERRING / BLACK KNIGHT;RED HERRING / BLACK KNIGHT
MAN LIVING IN BARREL;MAN LIVING IN BARREL
THE  PRINCE;THE  PRINCE
FLYING HOGFISH PEASANT;FLYING HOGFISH PEASANT
1ST MERCHANT;1ST MERCHANT
2ND MERCHANT;2ND MERCHANT
3RD MERCHANT;3RD MERCHANT
GUARD AT THE GATE;GUARD AT THE GATE
SERGEANT AT THE GATE;SERGEANT AT THE GATE
FANATICS' LEADER;FANATICS' LEADER
FANATIC;FANATIC
SPAGHETTI EATING FANATIC;SPAGHETTI EATING FANATIC
MRS FISHFINGER;MRS FISHFINGER
MR COOPER SNR;MR COOPER SNR
ARMOURER;ARMOURER
APPRENTICE ARMOURER;APPRENTICE ARMOURER
FLAGELLANT;FLAGELLANT
RATMAN;RATMAN
OLD MAN WITH PETITION;OLD MAN WITH PETITION
1ST PEASANT;1ST PEASANT
SCRUBBER;SCRUBBER
KEVIN FISHFINGER;KEVIN FISHFINGER
LANDLORD'S WIFE;LANDLORD'S WIFE
BRUCE BANNER / HULK;BRUCE BANNER / HULK
ULTRON (VOICE);ULTRON (VOICE)
JAMES RHODES / WAR MACHINE;JAMES RHODES / WAR MACHINE
PIETRO MAXIMOFF / QUICKSILVER;PIETRO MAXIMOFF / QUICKSILVER
WANDA MAXIMOFF / SCARLET WITCH;WANDA MAXIMOFF / SCARLET WITCH
JARVIS (VOICE) / VISION;JARVIS (VOICE) / VISION
SAM WILSON / THE FALCON;SAM WILSON / THE FALCON
LAURA BARTON;LAURA BARTON
DR. HELEN CHO;DR. HELEN CHO
STRUCKER;STRUCKER
ULYSSES KLAUE / KLAW;ULYSSES KLAUE / KLAW
MADAME B;MADAME B
DR. LIST;DR. LIST
FORTRESS SOLDIER;FORTRESS SOLDIER
STRUCKER MERCENARY;STRUCKER MERCENARY
ZRINKA;ZRINKA
COSTEL;COSTEL
SOKOVIAN ACID STUDENT;SOKOVIAN ACID STUDENT
DR. CHO'S ASSISTANT;DR. CHO'S ASSISTANT
KLAUE'S MERCENARY;KLAUE'S MERCENARY
BALLET INSTRUCTOR;BALLET INSTRUCTOR
JOHANNESBURG COP;JOHANNESBURG COP
JOHANNESBURG DRIVER;JOHANNESBURG DRIVER
JOHANNESBURG ONLOOKER;JOHANNESBURG ONLOOKER
JOHANNESBURG ELEVATOR PASSENGER;JOHANNESBURG ELEVATOR PASSENGER
COOPER BARTON;COOPER BARTON
LILA BARTON;LILA BARTON
WORLD HUB TECH;WORLD HUB TECH
KOREAN TRAIN PASSENGER;KOREAN TRAIN PASSENGER
SOKOVIAN FAMILY;SOKOVIAN FAMILY
SOKOVIAN WOMAN;SOKOVIAN WOMAN
TUB FAMILY CHILD;TUB FAMILY CHILD
SOKOVIAN DRIVER;SOKOVIAN DRIVER
SOKOVIAN SUV DRIVER;SOKOVIAN SUV DRIVER
SOKOVIAN SUV PASSENGER;SOKOVIAN SUV PASSENGER
SOKOVIAN POLICE CAPTAIN;SOKOVIAN POLICE CAPTAIN
SPECIALIST CAMERON KLEIN;SPECIALIST CAMERON KLEIN
FRIDAY (VOICE);FRIDAY (VOICE)
NATHANIEL PIETRO BARTON;NATHANIEL PIETRO BARTON
CITIZEN;CITIZEN
LIEUTENANT JAMES RHODES / WAR MACHINE;LIEUTENANT JAMES RHODES / WAR MACHINE
T'CHALLA / BLACK PANTHER;T'CHALLA / BLACK PANTHER
VISION;VISION
SCOTT LANG / ANT-MAN;SCOTT LANG / ANT-MAN
SHARON CARTER;SHARON CARTER
PETER PARKER / SPIDER-MAN;PETER PARKER / SPIDER-MAN
BROCK RUMLOW / CROSSBONES;BROCK RUMLOW / CROSSBONES
SECRETARY OF STATE THADDEUS ROSS;SECRETARY OF STATE THADDEUS ROSS
ZEMO;ZEMO
EVERETT K. ROSS;EVERETT K. ROSS
MAY PARKER;MAY PARKER
MARIA STARK;MARIA STARK
KING T'CHAKA;KING T'CHAKA
KARPOV;KARPOV
AYO;AYO
MIRIAM;MIRIAM
M.I.T. LIAISON;M.I.T. LIAISON
FEDEX DRIVER;FEDEX DRIVER
DR. BROUSSARD;DR. BROUSSARD
HERO MERC #1;HERO MERC #1
MRI TECH;MRI TECH
VICAR;VICAR
JOSEF / SUPER SOLDIER #1;JOSEF / SUPER SOLDIER #1
SUPER SOLDIER #2;SUPER SOLDIER #2
SUPER SOLDIER #3;SUPER SOLDIER #3
SUPER SOLDIER #4;SUPER SOLDIER #4
SUPER SOLDIER #5;SUPER SOLDIER #5
ZEMO'S WIFE (VOICE);ZEMO'S WIFE (VOICE)
ATTACHÉ;ATTACHÉ
MAN AT KIOSK;MAN AT KIOSK
GSG9 TASK FORCE GUNNER;GSG9 TASK FORCE GUNNER
GSG9 TASK FORCE PILOT;GSG9 TASK FORCE PILOT
GERMAN INNKEEPER;GERMAN INNKEEPER
RAFT GUARD;RAFT GUARD
BARGE MAN #1;BARGE MAN #1
BARGE MAN #2;BARGE MAN #2
CUSTODIAN;CUSTODIAN
FUNERAL DIRECTOR;FUNERAL DIRECTOR
WOMAN IN LOBBY #1;WOMAN IN LOBBY #1
WOMAN IN LOBBY #2;WOMAN IN LOBBY #2
DELIVERY TRUCK DRIVER;DELIVERY TRUCK DRIVER
CHOIR;CHOIR
CHINESE NEWSCASTER;CHINESE NEWSCASTER
GERMAN NEWSCASTER #1;GERMAN NEWSCASTER #1
GERMAN NEWSCASTER #2;GERMAN NEWSCASTER #2
BUSBOY (LAGOS);BUSBOY (LAGOS)
WAITER (LAGOS);WAITER (LAGOS)
SECRETARY ROSS'S AIDE;SECRETARY ROSS'S AIDE
HERO MERC #2;HERO MERC #2
HERO MERC #3;HERO MERC #3
HERO MERC #4;HERO MERC #4
TEENAGE GIRL;TEENAGE GIRL
UN STAFFER GIBSON;UN STAFFER GIBSON
STARK'S ASSISTANT;STARK'S ASSISTANT
NURSE;NURSE
CULTURAL ATTACHÉ;CULTURAL ATTACHÉ
PETER QUILL / STAR-LORD;PETER QUILL / STAR-LORD
GAMORA;GAMORA
DRAX;DRAX
BABY GROOT (VOICE);BABY GROOT (VOICE)
ROCKET (VOICE);ROCKET (VOICE)
YONDU;YONDU
NEBULA;NEBULA
MANTIS;MANTIS
STAKAR OGORD;STAKAR OGORD
EGO;EGO
AYESHA;AYESHA
TASERFACE;TASERFACE
KRAGLIN / ON-SET ROCKET;KRAGLIN / ON-SET ROCKET
TULLK;TULLK
MEREDITH QUILL;MEREDITH QUILL
SOVEREIGN CHAMBERMAID;SOVEREIGN CHAMBERMAID
SOVEREIGN PILOT;SOVEREIGN PILOT
SOVEREIGN ADMIRAL;SOVEREIGN ADMIRAL
ZYLAK (AS ALEX KLEIN);ZYLAK (AS ALEX KLEIN)
ZYLAK'S FRENEMY;ZYLAK'S FRENEMY
RETCH;RETCH
OBLO;OBLO
NARBLIK;NARBLIK
HALFNUT;HALFNUT
BRAHL;BRAHL
GEF;GEF
HUHTAR;HUHTAR
""DOWN THERE!"";""DOWN THERE!""
UNSEEN RAVAGER;UNSEEN RAVAGER
ROBOT COURTESAN;ROBOT COURTESAN
ROBOT COURTESAN (AS KENDRA STAUB);ROBOT COURTESAN (AS KENDRA STAUB)
HOWARD THE DUCK (VOICE);HOWARD THE DUCK (VOICE)
HOWARD'S DATE (AS MOLLY QUINN);HOWARD'S DATE (AS MOLLY QUINN)
MARTINEX;MARTINEX
SNEEPER MADAME;SNEEPER MADAME
WATCHER INFORMANT;WATCHER INFORMANT
THE FORM OF DAVID HASSELHOFF;THE FORM OF DAVID HASSELHOFF
OFFICER FITZGIBBON;OFFICER FITZGIBBON
WEIRD OLD MAN (AS JAMES GUNN;WEIRD OLD MAN (AS JAMES GUNN
ADRIAN TOOMES / THE VULTURE;ADRIAN TOOMES / THE VULTURE
HAROLD 'HAPPY' HOGAN;HAROLD 'HAPPY' HOGAN
MICHELLE 'MJ' JONES;MICHELLE 'MJ' JONES
NED;NED
LIZ TOOMES;LIZ TOOMES
AARON DAVIS;AARON DAVIS
EUGENE 'FLASH' THOMPSON;EUGENE 'FLASH' THOMPSON
HERMAN SCHULTZ / SHOCKER #2;HERMAN SCHULTZ / SHOCKER #2
JACKSON 'MONTANA' BRICE / SHOCKER #1;JACKSON 'MONTANA' BRICE / SHOCKER #1
PHINEAS MASON / THE TINKERER;PHINEAS MASON / THE TINKERER
PEPPER POTTS;PEPPER POTTS
KAREN / SUIT LADY (VOICE);KAREN / SUIT LADY (VOICE)
ANNE MARIE HOAG;ANNE MARIE HOAG
COACH WHIZ WILSON;COACH WHIZ WILSON
ROGER HARRINGTON;ROGER HARRINGTON
PRINCIPAL MORITA;PRINCIPAL MORITA
MS. WARREN;MS. WARREN
MAC GARGAN;MAC GARGAN
DORIS TOOMES;DORIS TOOMES
BETTY BRANDT;BETTY BRANDT
SALLY AVRIL;SALLY AVRIL
JASON IONELLO;JASON IONELLO
SEYMOUR O' REILLY;SEYMOUR O' REILLY
ABRAHAM 'ABE' BROWN;ABRAHAM 'ABE' BROWN
CINDY MOON;CINDY MOON
CHARLES MURPHY;CHARLES MURPHY
BRIAN 'TINY' MCKEEVER;BRIAN 'TINY' MCKEEVER
MR. DELMAR;MR. DELMAR
MR. COBBWELL;MR. COBBWELL
TOUR GUIDE;TOUR GUIDE
PUNK ON STREET;PUNK ON STREET
AGENT FOSTER;AGENT FOSTER
