Id,Lista_Heroes
T 260,SIF :  FANDRAL [ASGARDIAN] :  VOLSTAGG :  ANALYZER :  THOR/DR. DONALD BLAK :  BALDER [ASGARDIAN] :  HOGUN [ASGARDIAN] :  ENCHANTRESS/AMORA/HE :  EXECUTIONER II/SKURG :  KARNILLA [ASGARDIAN]
PPSM2 22,GRANT  GLORIA GLORY :  ROBERTSON  RANDY :  SPIDER-MAN/PETER PARKER :  SANDMAN/WILLIAM BAKE
T 270,BLASTAAR :  THOR/DR. DONALD BLAK :  IRON MAN/TONY STARK
AWC 7,SPIDER-WOMAN II/JULI :  WONDER MAN/SIMON WIL :  LIVING LIGHTNING/MIG :  USAGENT/CAPTAIN JOHN :  SCARLET WITCH/WANDA :  DARKHAWK/CHRIS POWEL :  IRON MAN IV/JAMES R. :  PROFESSOR POWER/ANTH :  HAWK
PPSM2 9,PARKER  MAY :  STACY  PAUL :  SPIDER-MAN/PETER PARKER :  STACY  ARTHUR :  VENOM/EDDIE BROCK :  STACY  JILL
PPSM2 8,MORBIUS/DR. MICHAEL :  LEEDS  BETTY BRANT :  BLADE/ :  KINGPIN/WILSON FISK :  SPIDER-MAN/PETER PARKER :  FORTUNATO  GIACOMO J :  STACY  JILL :  ROBERTSON  JOE
M/CP 74/3,CONSTRICTOR/FRANK PA
AWC 4,SET :  GHAUR [DEVIANT] :  QUASAR III/WENDELL V :  CAPTAIN AMERICA :  WONDER MAN/SIMON WIL :  BEAST/HENRY &HANK& P :  THING/BENJAMIN J. GR :  WASP/JANET VAN DYNE :  SHE-HULK/JENNIFER WA :  ANDROMEDA/ANDROMEDA :  VISION :  THOR/DR. DONALD BLAK :  SCARLET WITCH/WANDA :  STORM/ORORO MUNROE S :  IRON MAN/TONY STARK :  MARVEL GIRL/JEAN GRE :  INVISIBLE WOMAN/SUE :  SERSI/SYLVIA :  DAGGER/TANDY BOWEN :  HUMAN TORCH ANDROID/
M/CP 74/4,HUMAN TORCH/JOHNNY S :  LYJA LAZERFIST [SKRU :  ICEMAN/ROBERT BOBBY
AWC 5,QUASAR III/WENDELL V :  CAPTAIN AMERICA :  WONDER MAN/SIMON WIL :  WASP/JANET VAN DYNE :  SHE-HULK/JENNIFER WA :  MACHINE MAN/X-51 :  VISION :  USAGENT/CAPTAIN JOHN :  ANT-MAN/DR. HENRY J. :  IRON MAN/TONY STARK :  QUICKSILVER/PIETRO M :  TERMINUS :  HAWK :  HUMAN TORCH ANDROID/ :  HERCULES [GREEK GOD]
AWC 6,QUASAR III/WENDELL V :  BLACK WIDOW/NATASHA :  CAPTAIN AMERICA :  SPIDER-WOMAN II/JULI :  WONDER MAN/SIMON WIL :  SHE-HULK/JENNIFER WA :  KALA :  LIVING LIGHTNING/MIG :  TYRANNUS :  VISION :  RAGE/ELVIN DARYL HAL :  USAGENT/CAPTAIN JOHN :  SCARLET WITCH/WANDA :  IRON MAN/TONY STARK :  SERSI/SYLVIA :  SANDMAN/WILLIAM BAKE :  GROTESK :  MOLE MAN/HARVEY RUPE :  HAWK :  BRUTUS :  HERCULES [GREEK GOD]
M/CP 74/2,WILSON  DUBOSE :  CROSS-WALLACE  SIR G :  MCHELE  JEREMY :  SHANNA/SHANNA O'HARA
PPSM2 32,BARKER :  FUSION/MARKLEY :  SPIDER-MAN/PETER PARKER
IF 13,IRON FIST/DANIEL RAN :  BOOMERANG/FRED MYERS :  KNIGHT  MISTY
PPSM2 31,BARKER :  EARLE  CARYN :  MCCULLOUGH  DR. ANDR :  FUSION/MARKLEY :  WILLIFORD  BRENT :  THOMPSON  EUGENE FLA :  JAMESON  J. JONAH :  SPIDER-MAN/PETER PARKER :  ROBERTSON  JOE
IF 12,IRON FIST/DANIEL RAN :  THUNDERBALL/DR. ELIO :  CAPTAIN AMERICA :  WRECKER III/DIRK GAR :  KNIGHT  MISTY :  JARVIS  EDWIN :  BULLDOZER/HENRY CAMP :  PILEDRIVER II/BRIAN
IF 15,IRON FIST/DANIEL RAN :  CLAREMONT  CHRIS :  WOLVERINE/LOGAN :  CYCLOPS/SCOTT SUMMER :  STEEL SERPENT :  NIGHTCRAWLER/KURT WA :  COLOSSUS II/PETER RA :  BANSHEE/SEAN CASSIDY :  BYRNE  JOHN :  BUSHMASTER/JOHN MCIV :  KNIGHT  MISTY :  WILFORD  BONNIE :  STORM/ORORO MUNROE S :  COCKRUM  DAVE :  SCARFE  RAFAEL :  LILANDRA NERAMANI [S :  MACTAGGERT  MOIRA KI :  PROFESSOR X/CHARLES :  PHOENIX II
PPSM2 30,GRANT  GLORIA GLORY :  ROBERTSON  RANDY :  BARKER :  EARLE  CARYN :  FUSION/MARKLEY :  SPIDER-MAN/PETER PARKER :  STACY  JILL
IF 14,IRON FIST/DANIEL RAN :  WING  COLLEEN :  SABRETOOTH/VICTOR CR :  HOGARTH  JERYN
T 259,SIF :  FANDRAL [ASGARDIAN] :  VOLSTAGG :  ANALYZER :  THOR/DR. DONALD BLAK :  GREY GARGOYLE/PAUL P :  BALDER [ASGARDIAN] :  HOGUN [ASGARDIAN] :  ENCHANTRESS/AMORA/HE :  VIZIER :  EXECUTIONER II/SKURG :  KARNILLA [ASGARDIAN]
T 258,SIF :  FANDRAL [ASGARDIAN] :  VOLSTAGG :  ANALYZER :  THOR/DR. DONALD BLAK :  GREY GARGOYLE/PAUL P :  BALDER [ASGARDIAN] :  HOGUN [ASGARDIAN] :  ENCHANTRESS/AMORA/HE :  EXECUTIONER II/SKURG :  KARNILLA [ASGARDIAN]
IF 11,CAGE  LUKE/CARL LUCA :  IRON FIST/DANIEL RAN :  THUNDERBALL/DR. ELIO :  CYCLOPS/SCOTT SUMMER :  GLENN  HEATHER :  STERN  ROGER :  HUMAN TORCH/JOHNNY S :  WRECKER III/DIRK GAR :  DAREDEVIL/MATT MURDO :  WING  COLLEEN :  KNIGHT  MISTY :  BULLDOZER/HENRY CAMP :  MR. FANTASTIC/REED R :  PILEDRIVER II/BRIAN :  PHOENIX II
T 257,SIF :  FANDRAL [ASGARDIAN] :  VOLSTAGG :  ANALYZER :  THOR/DR. DONALD BLAK :  BALDER [ASGARDIAN] :  HOGUN [ASGARDIAN] :  KARNILLA [ASGARDIAN]
IF 10,CHAKA KHAN :  IRON FIST/DANIEL RAN :  WING  COLLEEN :  KNIGHT  MISTY :  SCARFE  RAFAEL
T 256,SIF :  FANDRAL [ASGARDIAN] :  VOLSTAGG :  ANALYZER :  THOR/DR. DONALD BLAK :  BALDER [ASGARDIAN] :  HOGUN [ASGARDIAN] :  KARNILLA [ASGARDIAN]
T 255,SIF :  FANDRAL [ASGARDIAN] :  VOLSTAGG :  THOR/DR. DONALD BLAK :  BALDER [ASGARDIAN] :  HOGUN [ASGARDIAN] :  VIZIER :  KARNILLA [ASGARDIAN]
WOSM 6/2,PARKER  MAY :  WATSON-PARKER  MARY :  PUNISHER II/FRANK CA
T 253,ULIK :  THOR/DR. DONALD BLAK
T 252,SIF :  ULIK :  THOR/DR. DONALD BLAK :  BALDER [ASGARDIAN] :  VIZIER :  KARNILLA [ASGARDIAN]
T 251,SIF :  FANDRAL [ASGARDIAN] :  VOLSTAGG :  HELA [ASGARDIAN] :  THOR/DR. DONALD BLAK :  BALDER [ASGARDIAN] :  HOGUN [ASGARDIAN] :  VIZIER :  KARNILLA [ASGARDIAN]
WOSM 6/3,WATSON-PARKER  MARY :  SPIDER-MAN/PETER PARKER
T 250,SIF :  HILDEGARDE [ASGARDIA :  FANDRAL [ASGARDIAN] :  VOLSTAGG :  THOR/DR. DONALD BLAK :  BALDER [ASGARDIAN] :  HOGUN [ASGARDIAN] :  VIZIER :  MANGOG :  KARNILLA [ASGARDIAN]
PPSM2 33,PARKER  MAY :  PARKER  BEN :  SPIDER-MAN/PETER PARKER
FF 389,HUNTARA/MARY ELIZABE :  THING/BENJAMIN J. GR :  HUMAN TORCH/JOHNNY S :  LYJA LAZERFIST [SKRU :  SUB-MARINER/NAMOR MA :  ARON [WATCHER] :  ANT-MAN II/SCOTT HAR :  SUAREZ  RAPHAEL :  INVISIBLE WOMAN/SUE :  PSI-LORD/FRANKLIN BE :  COLLECTOR/TANELEER T
T 289,SIF :  MAKKARI/MIKE KHARY/I :  FORGOTTEN ONE/GILGAM :  ONE ABOVE ALL [CELES :  ARES [GREEK GOD] :  KARKAS [DEVIANT] :  HEIMDALL [ASGARDIAN] :  THOR/DR. DONALD BLAK :  SPRITE :  ATHENA [GREEK GOD] :  ZURAS :  BALDER [ASGARDIAN] :  SERSI/SYLVIA :  IKARIS/IKE HARRIS [E :  ZEUS :  DESTROYER III :  THENA :  FRIGGA :  KARNILLA [ASGARDIAN] :  ODIN [ASGARDIAN] :  REJECT/RAN-SAK [DEVI :  HERCULES [GREEK GOD]
T 288,SIF :  MAKKARI/MIKE KHARY/I :  FORGOTTEN ONE/GILGAM :  FANDRAL [ASGARDIAN] :  ONE ABOVE ALL [CELES :  VOLSTAGG :  KARKAS [DEVIANT] :  DOMO :  THOR/DR. DONALD BLAK :  SPRITE :  ZURAS :  BALDER [ASGARDIAN] :  HOGUN [ASGARDIAN] :  SERSI/SYLVIA :  IKARIS/IKE HARRIS [E :  DESTROYER III :  THENA :  KARNILLA [ASGARDIAN] :  ODIN [ASGARDIAN]
T 287,SIF :  MAKKARI/MIKE KHARY/I :  FORGOTTEN ONE/GILGAM :  FANDRAL [ASGARDIAN] :  ONE ABOVE ALL [CELES :  VOLSTAGG :  DAMIAN  MARGO :  KARKAS [DEVIANT] :  DOMO :  THOR/DR. DONALD BLAK :  ZURAS :  HOGUN [ASGARDIAN] :  SERSI/SYLVIA :  IKARIS/IKE HARRIS [E :  THENA :  REJECT/RAN-SAK [DEVI
T 286,SIF :  KRO [DEVIANT] :  FANDRAL [ASGARDIAN] :  VOLSTAGG :  DAMIAN  MARGO :  DRAGONA :  KARKAS [DEVIANT] :  THOR/DR. DONALD BLAK :  HOGUN [ASGARDIAN] :  SERSI/SYLVIA :  IKARIS/IKE HARRIS [E :  METABO :  THENA :  ODIN [ASGARDIAN] :  REJECT/RAN-SAK [DEVI :  BROTHER TODE
T 285,KRO [DEVIANT] :  DAMIAN  MARGO :  KARKAS [DEVIANT] :  THOR/DR. DONALD BLAK :  SERSI/SYLVIA :  IKARIS/IKE HARRIS [E :  THENA :  REJECT/RAN-SAK [DEVI
T 284,KRO [DEVIANT] :  DAMIAN  MARGO :  JEMIAH :  GAMMENON [CELESTIAL] :  AJAK/TECUMOTZIN [ETE :  THOR/DR. DONALD BLAK :  SERSI/SYLVIA :  IKARIS/IKE HARRIS [E :  ERISHKIGEL II/HOLLY :  DAMIAN  DR. DANIEL :  NEZARR :  ARISHEM [CELESTIAL]
T 283,GAMMENON [CELESTIAL] :  THOR/DR. DONALD BLAK :  BALDER [ASGARDIAN] :  ERISHKIGEL II/HOLLY :  ODIN [ASGARDIAN]
M/TALES 262/2,WOLVERINE/LOGAN :  CYCLOPS/SCOTT SUMMER :  NIGHTCRAWLER/KURT WA :  COLOSSUS II/PETER RA :  BANSHEE/SEAN CASSIDY :  STORM/ORORO MUNROE S :  PROFESSOR X/CHARLES :  PHOENIX II
FF 388,DARK RAIDER :  THING/BENJAMIN J. GR :  HUMAN TORCH/JOHNNY S :  MALICE III :  ARON [WATCHER] :  ANT-MAN II/SCOTT HAR :  INVISIBLE WOMAN/SUE :  PSI-LORD/FRANKLIN BE
T 282,SPACE PHANTOM :  THOR/DR. DONALD BLAK :  TEMPUS :  PHARAOH RAMA-TUT
T 292,MAKKARI/MIKE KHARY/I :  ARES [GREEK GOD] :  KARKAS [DEVIANT] :  HERMES [GREEK GOD] :  MERCURY :  THOR/DR. DONALD BLAK :  ATHENA [GREEK GOD] :  ZURAS :  SERSI/SYLVIA :  IKARIS/IKE HARRIS [E :  ZEUS :  THENA :  ODIN [ASGARDIAN] :  REJECT/RAN-SAK [DEVI :  HERCULES [GREEK GOD]
FF 381,DR. DOOM/VICTOR VON :  MR. FANTASTIC/REED R
T 291,SIF :  MAKKARI/MIKE KHARY/I :  FORGOTTEN ONE/GILGAM :  FANDRAL [ASGARDIAN] :  ONE ABOVE ALL [CELES :  VOLSTAGG :  HARVEST/CHI LO :  DAMIAN  MARGO :  ARES [GREEK GOD] :  AJAK/TECUMOTZIN [ETE :  KARKAS [DEVIANT] :  AGINAR :  HERMES [GREEK GOD] :  GENII/JASON KIMBALL :  MERCURY :  THOR/DR. DONALD BLAK :  SPRITE :  ATHENA [GREEK GOD] :  ZURAS :  HOGUN [ASGARDIAN] :  SERSI/SYLVIA :  IKARIS/IKE HARRIS [E :  DAMIAN  DR. DANIEL :  ZEUS :  ARISHEM [CELESTIAL] :  THENA :  ODIN [ASGARDIAN] :  VALKIN :  REJECT/RAN-SAK [DEVI :  BRIGHTSWORD/CARTER D :  HERCULES [GREEK GOD]
T 290,EL VAMPIRO :  DOMO :  THOR/DR. DONALD BLAK :  EL TORO ROJO
FF 384,MALICE III
PPSM2 10,PARKER  MAY :  WATSON-PARKER  MARY :  JAMESON  J. JONAH :  CARNAGE/CLETUS KASAD :  SPIDER-MAN/PETER PARKER :  VENOM/EDDIE BROCK :  STACY  JILL
M/CP 61/2,SLUG/ULYSSES X. LUGM :  POISON/CECILIA CARDI
T 279,ULIK :  KINCAID  DR. JANE FO :  THOR/DR. DONALD BLAK :  PLUTO [OLYMPIAN] :  LOKI [ASGARDIAN]
T 278,SIF :  FANDRAL [ASGARDIAN] :  VOLSTAGG :  HELA [ASGARDIAN] :  THOR/DR. DONALD BLAK :  THOR II/ROGER RED NO :  SIGYN :  LOKI [ASGARDIAN] :  BALDER [ASGARDIAN] :  HOGUN [ASGARDIAN] :  HOBBS  HARRIS :  ODIN [ASGARDIAN] :  HODER [ASGARDIAN]
SSM&CB 239/2,CAPTAIN BRITAIN/BRIA
PPSM2 18,PARKER  MAY :  ROBERTSON  RANDY :  THOMPSON  EUGENE FLA :  JAMESON  J. JONAH :  OSBORN  LIZ ALLAN :  SPIDER-MAN/PETER PARKER :  ROBERTSON  JOE
T 277,SIF :  FANDRAL [ASGARDIAN] :  VOLSTAGG :  HELA [ASGARDIAN] :  HEIMDALL [ASGARDIAN] :  THOR/DR. DONALD BLAK :  THOR II/ROGER RED NO :  SIGYN :  LOKI [ASGARDIAN] :  BALDER [ASGARDIAN] :  HOGUN [ASGARDIAN] :  ENCHANTRESS/AMORA/HE :  VOLLA :  EXECUTIONER II/SKURG :  FRIGGA :  HOBBS  HARRIS :  ODIN [ASGARDIAN]
PPSM2 17,ROBERTSON  RANDY :  JAMESON  J. JONAH :  ELECTRO/MAX DILLON :  SPIDER-MAN/PETER PARKER :  KRAVEN THE HUNTER II :  MYSTERIO II/DANIEL B :  MARTS  MR. :  VENOM/EDDIE BROCK :  ROBERTSON  JOE
T 276,SIF :  FANDRAL [ASGARDIAN] :  HERMOD [ASGARDIAN] :  VOLSTAGG :  THOR/DR. DONALD BLAK :  THOR II/ROGER RED NO :  SIGYN :  LOKI [ASGARDIAN] :  BALDER [ASGARDIAN] :  HOGUN [ASGARDIAN] :  FRIGGA :  HOBBS  HARRIS :  ODIN [ASGARDIAN]
PPSM2 16,PARKER  MAY :  RAZOR WIRE/ :  THING/BENJAMIN J. GR :  MS. FORTUNE/ :  SQUID/DONNY CALLAHAN :  OGRE II :  URICH  BEN :  JAMESON  J. JONAH :  MASTER MONARCH/ :  SPIDER-MAN/PETER PARKER :  SANDMAN/WILLIAM BAKE :  LIGHTNING FIST :  MARTS  MR. :  VENOM/EDDIE BROCK
T 275,SIF :  FANDRAL [ASGARDIAN] :  HERMOD [ASGARDIAN] :  VOLSTAGG :  THOR/DR. DONALD BLAK :  THOR II/ROGER RED NO :  SIGYN :  LOKI [ASGARDIAN] :  BALDER [ASGARDIAN] :  HOGUN [ASGARDIAN] :  FRIGGA :  HOBBS  HARRIS :  ODIN [ASGARDIAN] :  HODER [ASGARDIAN]
PPSM2 15,SPIDER-MAN/PETER PARKER
FF 396,RICHARDS  NATHANIEL :  THING/BENJAMIN J. GR :  HUMAN TORCH/JOHNNY S :  LYJA LAZERFIST [SKRU :  ARON [WATCHER] :  ANT-MAN II/SCOTT HAR :  INVISIBLE WOMAN/SUE
T 274,SIF :  FANDRAL [ASGARDIAN] :  VOLSTAGG :  HELA [ASGARDIAN] :  HEIMDALL [ASGARDIAN] :  THOR/DR. DONALD BLAK :  THOR II/ROGER RED NO :  LOKI [ASGARDIAN] :  BALDER [ASGARDIAN] :  HOGUN [ASGARDIAN] :  FRIGGA :  HOBBS  HARRIS :  ODIN [ASGARDIAN] :  HODER [ASGARDIAN]
PPSM2 14,PARKER  MAY :  HULK/DR. ROBERT BRUC :  GRANT  GLORIA GLORY :  LEEDS  BETTY BRANT :  ROBERTSON  MARTHA :  URICH  BEN :  THOMPSON  EUGENE FLA :  WATSON  ANNA :  JAMESON  J. JONAH :  JAMESON  MARLA MADIS :  OSBORN  LIZ ALLAN :  SPIDER-MAN/PETER PARKER :  STACY  ARTHUR :  STACY  JILL :  ROBERTSON  JOE
FF 397,RICHARDS  NATHANIEL :  ZARRKO  ARTHUR :  KRISTOFF/KRISTOFF VE :  DARK RAIDER :  THING/BENJAMIN J. GR :  HUMAN TORCH/JOHNNY S :  LYJA LAZERFIST [SKRU :  UATU :  ARON [WATCHER] :  ANT-MAN II/SCOTT HAR :  INVISIBLE WOMAN/SUE
T 273,FANDRAL [ASGARDIAN] :  VOLSTAGG :  HEIMDALL [ASGARDIAN] :  THOR/DR. DONALD BLAK :  LOKI [ASGARDIAN] :  BALDER [ASGARDIAN] :  HOGUN [ASGARDIAN] :  HOBBS  HARRIS
PPSM2 13,PARKER  MAY :  JAMESON  J. JONAH :  CARNAGE/CLETUS KASAD :  JAMESON  MARLA MADIS :  KINGPIN/WILSON FISK :  SPIDER-MAN/PETER PARKER :  STACY  ARTHUR :  VENOM/EDDIE BROCK :  STACY  JILL :  ROBERTSON  JOE
FF 398,RICHARDS  NATHANIEL :  ROOTAR :  ZARRKO  ARTHUR :  KRISTOFF/KRISTOFF VE :  MARGOYLE :  THING/BENJAMIN J. GR :  ATOR  GENERAL :  HUMAN TORCH/JOHNNY S :  EELAK :  GLABOO :  ARON [WATCHER] :  ANT-MAN II/SCOTT HAR :  INVISIBLE WOMAN/SUE :  PULSSUS
PPSM2 12,WATSON-PARKER  MARY :  VULTURE/ADRIAN TOOME :  ELECTRO/MAX DILLON :  SPIDER-MAN/PETER PARKER :  SANDMAN/WILLIAM BAKE :  KRAVEN THE HUNTER II :  MYSTERIO II/DANIEL B :  STACY  ARTHUR :  VENOM/EDDIE BROCK
T 272,THOR/DR. DONALD BLAK :  LOKI [ASGARDIAN]
FF 399,ROOTAR :  ZARRKO  ARTHUR :  KRISTOFF/KRISTOFF VE :  DARK RAIDER :  MARGOYLE :  THING/BENJAMIN J. GR :  ATOR  GENERAL :  HUMAN TORCH/JOHNNY S :  EELAK :  GLABOO :  ARON [WATCHER] :  ANT-MAN II/SCOTT HAR :  INVISIBLE WOMAN/SUE :  PULSSUS
T 271,CAPTAIN AMERICA :  WONDER MAN/SIMON WIL :  BEAST/HENRY &HANK& P :  VISION :  DAREDEVIL/MATT MURDO :  DR. DOOM/VICTOR VON :  THOR/DR. DONALD BLAK :  SCARLET WITCH/WANDA :  FURY  COL. NICHOLAS :  SHANG-CHI :  IRON MAN/TONY STARK :  CAPTAIN MARVEL/CAPTA :  SPIDER-MAN/PETER PARKER :  NOVA/RICHARD RIDER
PPSM2 11,INFERNO III/SAMANTHA :  GRANT  GLORIA GLORY :  LEEDS  BETTY BRANT :  BEDLAM II/OLISA KABA :  TEMPEST II/NICOLETTE :  CONQUEST/BRIDGET MAL :  URICH  BEN :  WATSON-PARKER  MARY :  THOR/DR. DONALD BLAK :  JUGGERNAUT/CAIN MARK :  JAMESON  J. JONAH :  IRON MAN/TONY STARK :  STONECUTTER/UTAMA TO :  JARVIS  EDWIN :  CARNIVORE/COUNT ANDR :  SPIDER-MAN/PETER PARKER :  DECAY II/YOSHIRO HAC :  PROFESSOR X/CHARLES :  STACY  JILL :  ROBERTSON  JOE :  MANN  DR. J. VERNON
FF 392,HUNTARA/MARY ELIZABE :  VIBRAXAS/N'KANO :  DARK RAIDER :  THING/BENJAMIN J. GR :  HUMAN TORCH/JOHNNY S :  LYJA LAZERFIST [SKRU :  BLACK PANTHER/T'CHAL :  SUB-MARINER/NAMOR MA :  MALICE III :  ANT-MAN II/SCOTT HAR :  DEVLOR :  SUAREZ  RAPHAEL :  INVISIBLE WOMAN/SUE :  PSI-LORD/FRANKLIN BE
T 281,SPACE PHANTOM :  THOR/DR. DONALD BLAK :  PHARAOH RAMA-TUT
FF 393,RICHARDS  NATHANIEL :  THING/BENJAMIN J. GR :  HUMAN TORCH/JOHNNY S :  LYJA LAZERFIST [SKRU :  MASTERS  ALICIA REIS :  PUPPET MASTER/PHILLI :  O'NEIL  BRIDGET :  ANT-MAN II/SCOTT HAR :  INVISIBLE WOMAN/SUE
T 280,HYPERION :  TOM THUMB/THOMAS THO :  HYPERION II :  LADY LARK/LINDA LEWI :  DR. SPECTRUM/JOSEPH :  THOR/DR. DONALD BLAK :  GOLDEN ARCHER II/WYA :  CAPTAIN HAWK :  MASTER MENACE/DR. EM :  WHIZZER II/STANLEY S
FF 394,RICHARDS  NATHANIEL :  THING/BENJAMIN J. GR :  SHE-HULK/JENNIFER WA :  HUMAN TORCH/JOHNNY S :  LYJA LAZERFIST [SKRU :  MASTERS  ALICIA REIS :  O'NEIL  BRIDGET :  ANT-MAN II/SCOTT HAR :  INVISIBLE WOMAN/SUE :  WINGFOOT  WYATT :  STALKING FOX :  RAPTOR II/PROFESSOR
